,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_impact,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_model_snr
8326,FALSE POSITIVE,0,0,1,1,85.338393,8.5,633.0,0.004,11.4,741.0,71.36,4850.0,3.134,4.696,27.9
8327,FALSE POSITIVE,0,1,0,0,5.499941793,11.3096,47751.0,0.531,59.94,1878.0,2942.15,7079.0,3.827,2.634,814.1
8328,FALSE POSITIVE,0,1,0,0,2.629870555,6.606,101310.0,0.705,34.05,1291.0,659.45,5566.0,4.382,0.967,1026.0
8330,CANDIDATE,0,0,0,0,0.947554749,1.097,65.4,0.058,0.67,1633.0,1680.03,5508.0,4.569,0.84,12.4
8331,FALSE POSITIVE,1,0,0,0,6.62761199,6.15281,227140.0,0.753,82.03,1204.0,496.41,6316.0,4.231,1.333,4355.5
8332,CANDIDATE,0,0,0,0,50.271927,6.073,574.5,0.205,2.94,589.0,28.51,6520.0,4.375,1.215,9.3
8333,FALSE POSITIVE,0,1,0,0,28.597880332,7.71925,85952.0,0.356,74.25,1014.0,250.21,6590.0,3.787,2.474,2526.2
8334,FALSE POSITIVE,0,1,0,0,30.476518853,10.2264,326630.0,0.6,71.42,592.0,28.96,5527.0,4.315,1.073,1347.9
8335,FALSE POSITIVE,0,1,0,0,252.1638623,23.92,103790.0,1.149,50.74,242.0,0.81,5432.0,4.608,0.745,864.5
8337,FALSE POSITIVE,0,1,0,0,22.271198511,4.58598,179040.0,0.775,39.79,515.0,16.62,5068.0,4.556,0.73,2141.3
8338,FALSE POSITIVE,0,1,0,0,73.894163515,9.48995,213900.0,0.27,39.18,392.0,5.61,5442.0,4.469,0.841,3902.3
8339,FALSE POSITIVE,0,1,0,0,1.124033822,5.5728,247560.0,0.719,98.04,2547.0,9953.28,7141.0,4.208,1.563,792.9
8340,FALSE POSITIVE,0,1,1,0,2.796661168,3.3781,2363.8,1.276,47.68,1661.0,1797.72,6331.0,4.146,1.326,251.4
8341,FALSE POSITIVE,0,1,0,0,15.288709179,5.00366,512470.0,0.372,54.56,509.0,15.84,4464.0,4.577,0.719,1758.7
